       actor_loss  value_loss  advantages
272           0.2      1277.5       -32.0
273           0.8       942.9       -26.1
274           0.3       886.2       -26.1
275           0.9      1020.0       -28.3
276           1.7      1103.2       -28.2
277           3.6      1084.6       -26.9
278           1.7       973.7       -25.9
279           0.4       878.5       -25.0
280           0.3       778.1       -22.9
281           7.0      1048.9       -25.1
282          16.6      1005.9       -26.9
283           1.4       993.3       -26.8
284           1.4      1028.9       -26.5
285           0.5       961.2       -27.5
286           0.8       744.7       -22.4
287           0.5       867.9       -22.4
288           2.9      1178.5       -30.1
289           0.9       991.4       -26.4
290           0.5      1071.8       -29.6
291           0.4       968.2       -26.7
292           6.4      1132.7       -29.8
293           1.4       984.7       -25.1
294           1.6      1115.0       -28.8
295           0.3      1030.5       -27.3
296           7.0       854.0       -24.8
297           1.0       989.4       -28.2
298           0.7       977.8       -27.0
299           1.5      1046.7       -26.2
300           1.9       680.9       -21.9
301           0.4      1130.7       -27.3
302           0.5      1080.4       -27.8
303           1.0       870.8       -24.2
304           1.4       997.6       -27.8
305           1.3       725.2       -22.9
306           1.3       770.9       -23.0
307           0.3       773.8       -24.2
308           0.3       814.2       -23.2
309           1.9       855.4       -24.8
310          81.1       814.2       -20.9
311           0.3       859.4       -25.4
312           0.3       724.3       -21.7
313           0.8       752.0       -20.6
314           0.4       637.7       -20.0
315           0.7       742.9       -22.0
316           1.5       563.5       -19.6
317           0.9       938.8       -23.3
318           0.5       547.2       -18.9
319           0.6       736.9       -21.7
320           2.7       765.6       -21.7
321           1.3       737.0       -18.6
322           0.4       600.4       -17.8
323           2.7       693.4       -18.6
324           0.4       647.5       -18.9
325           0.7       617.3       -17.1
326           0.4       528.0       -18.9
327           3.3       693.6       -21.0
328           0.4       735.0       -21.8
329           0.4       549.9       -16.3
330           0.3       567.4       -17.9
331          79.0       586.4       -15.5
332           0.4       633.1       -17.2
333           1.1       427.7       -13.8
334           0.3       554.2       -16.8
335           0.5       554.6       -16.4
336           1.5       544.8       -14.1
337           0.9       441.6       -14.4
338           0.2       492.2       -16.7
339           1.2       547.5       -17.7
340           0.6       548.9       -15.0
341           2.3       538.1       -14.1
342           0.8       439.3       -14.9
343           0.8       362.5       -14.5
344           0.6       412.5       -13.9
345           0.6       383.9       -12.9
346           2.1       576.0       -14.8
